自治体コード,自治体名,親県コード,親県名,種別,収集ステータス,起点URL,備考
01100,札幌市,01,北海道,政令市,県事業カバー,https://www.pref.hokkaido.lg.jp/hf/khf/223347.html,高齢は道事業/市独自は障がい分野
04100,仙台市,04,宮城県,政令市,県事業カバー,https://www.pref.miyagi.jp/soshiki/chouju/r8kaigo-technology.html,宮城県事業でカバー(市ページは県案内のみ・市補助金は介護ロボ対象外と明記)
11100,さいたま市,11,埼玉県,政令市,収集済,https://www.city.saitama.lg.jp/005/001/018/010/p091876.html,M-03(地域密着型は市/居宅施設は県)
12100,千葉市,12,千葉県,政令市,収集済,https://www.city.chiba.jp/hokenfukushi/koreishogai/kaigohokenkanri/robot/daikiborobot_syukusya.html,M-08(大規模修繕型)
14100,横浜市,14,神奈川県,政令市,収集済,https://www.city.yokohama.lg.jp/kurashi/sumai-kurashi/shigoto/kaigo/zinzaikakuho.html,M-07(上限45万・率9/10・中高年/外国人雇用要件)
14130,川崎市,14,神奈川県,政令市,収集済,https://www.city.kawasaki.jp/350/page/0000177221.html,M-10(交付要領公開・R8は希望調査段階)
14150,相模原市,14,神奈川県,政令市,県事業カバー,https://www.pref.kanagawa.jp/docs/u6s/cnt/f420373/p1075201.html,神奈川県事業でカバー(市独自未確認)
15100,新潟市,15,新潟県,政令市,収集済,https://www.city.niigata.lg.jp/iryo/kaigo/kaigojinzai/kaigo_techno.html,M-02として登録済
22100,静岡市,22,静岡県,政令市,県事業カバー,https://www.pref.shizuoka.jp/kenkofukushi/koreifukushi/kaigohoken/1083217.html,静岡県定着支援事業でカバー
22130,浜松市,22,静岡県,政令市,県事業カバー,https://www.pref.shizuoka.jp/kenkofukushi/koreifukushi/kaigohoken/1083217.html,静岡県定着支援事業でカバー
23100,名古屋市,23,愛知県,政令市,県事業カバー,https://www.pref.aichi.jp/soshiki/korei/kaigotekunorozi.html,愛知県事業が名古屋市含め対象(市独自は障がい分野)
26100,京都市,26,京都府,政令市,県事業カバー,https://www.pref.kyoto.jp/chiiki/news/r6kaogoroboict.html,京都府事業でカバー(市独自は未確認)
27100,大阪市,27,大阪府,政令市,県事業カバー,https://www.pref.osaka.lg.jp/o090100/koreishisetsu/kaigo_technology/tech.html,高齢は府事業/市独自は障がい分野
